Rank,Name,Sport,Nation,Earnings Million $
1,Floyd Mayweather Jr.,Boxing,United States United States,$915 million
2,Cristiano Ronaldo,Association football,Portugal Portugal,$800 million
3,Lionel Messi,Association football,Argentina Argentina,$750 million
4,LeBron James,Basketball,United States United States,$680 million
5,Roger Federer,Tennis,Switzerland Switzerland,$640 million
6,Tiger Woods,Golf,United States United States,$615 million
7,Phil Mickelson,Golf,United States United States,$480 million
8,Manny Pacquiao,Boxing,Philippines Philippines,$435 million
9,Kevin Durant,Basketball,United States United States,$425 million
10,Lewis Hamilton,Auto racing,United Kingdom United Kingdom,$400 million
