League,Sport,Country(ies),Season,Level on pyramid,Teams[a],Revenue,Rev. / team,Ref.,1
,,,,,,(€ mil),(€ mil),,2
National Football League,American football, United States,2017,1.0,32.0,"11,394[b]",356.1,[1],3
Major League Baseball,Baseball, United States,2019,1.0,30.0,9780,326,[2],4
,, Canada,,,,,,,5
Premier League,Association football, England,2017–18,1.0,20.0,6562,328.1,[3],6
,, Wales[c],,,,,,,7
National Basketball Association,Basketball, United States/ Canada,2017-18,1.0,30.0,6271,267,[4],8
,,,,,,,,,9
La Liga,Association football, Spain,2017-18,1.0,20.0,4479,223.95,[5],10
National Hockey League,Ice hockey, United States,2018–19,1.0,31.0,4570,133.9,[6],11
,, Canada,,,,,,,12
Bundesliga,Association football, Germany,2018–19,1.0,18.0,4020,223.3,[7],13
Serie A,Association football, Italy,2016–17,1.0,20.0,2163,108.2,[8],14
UEFA Champions League,Association football,Europe,2017–18,1.0,32.0,2108,65.9,[9],15
Formula One,Auto racing,Worldwide,2017,1.0,10.0,1830,166.4,[10],16
Ligue 1,Association football, France/Monaco,2017–18,1.0,20.0,1692,84.6,[11],17
