Rank,Name,Net worth (USD):[1],Age,Country,Source(s) of wealth
1,Bernard Arnault,76.0 billion,70, France,LVMH
2,Amancio Ortega,62.7 billion,83, Spain,Zara
3,Françoise Bettencourt Meyers,49.3 billion,65, France,L'Oréal
4,Beate Heister & Karl Albrecht Jr.,36.1 billion,                                           67/71, Germany,Aldi Sud
5,François Pinault,29.7 billion,82, France,Kering
6,Leonid Mikhelson,24.0 billion,63, Russia,Novatek
7,Dieter Schwarz,22.6 billion,79, Germany,Schwarz Gruppe
8,Giovanni Ferrero,22.4 billion,54, Italy,Ferrero SpA
9,Vladimir Lisin,21.3 billion,63, Russia,Novolipetsk Steel
10,Susanne Klatten,21.0 billion,57, Germany,"BMW, Altana"
