Rank,Team,Country,Value in millions,% change on year,Debt as % of value,Revenue ($M)
1,Real Madrid,Spain Spain,4239,4,1,896
2,FC Barcelona,Spain Spain,4021,-1,0,824
3,Manchester United,England England,3808,-8,19,795
4,F.C.Bayern Munich,Germany Germany,3024,-1,0,751
5,Manchester City,England England,2688,9,0,678
6,Chelsea,England England,2576,25,0,597
7,Arsenal,England England,2267,1,11,520
8,Liverpool,England England,2183,12,3,613
9,Tottenham Hotspur,England England,1624,31,37,511
10,Juventus,Italy Italy,1512,3,9,480
